makan                      to eat, consume
ada                        have, exist, is
besar                      big
segan                      reluctant, shy, bashful
lewat                      late, behind time
pasar                      market, bazaar
lada                       pepper
sedap                      delicious to taste, pleasant, nice
meja                       table
tengok                     see, look, view
manis                      sweet
minum                      to drink
biji                       seed
kosong                     empty, hollow
tolong                     help
kotor                      dirty, filthy, foul (of persons, clothes, utensils…etc)
lulus                      pass, get through, approve
sungai                     river
tangkai                    stalk, stem, handle (of cup)
bidai                      curtain, window blind
daun                       leaf
gaun                       dress
bapa                       father
menjawab                   respond, answer
cari                       to search, to seek, to find
cawan                      cup
kecil                      small, little, junior
fasal                      (1)chapter, paragraph, section (2)concerning, reason
pergi                      to go
guru                       teacher
pagar                      fence
hari                       day
hujan                      rain; to rain
hutan                      forest
leher                      neck
tahan                      to last, endure, restrain, control, detain
tahun                      year
tahu                       know, recognize, understand
pahit                      bitter (of taste)
belah                      to cut
marah                      angry
jari                       finger, toe
kota                       fort, city, town
kampung                    village, home town
kenduri                    a feast
khabar                     news
kapal                      ship
tinggal                    to live, left behind, to stay
masam                      sour, acid
nasi                       cooked rice
harga                      price, value
nyamuk                     mosquito
banyak                     a lot of
bunga                      flower
ringgit                    silver dollar; dollar
tinggi                     high, tall
pintu                      door, gate
tangkap                    to arrest, to catch, to grasp
roti                       bread
berjalan                   to walk, to stroll
permata                    a precious stone, a gem
pencen                     pension
stesen                     station
timba                      small bucket, dipper
bukit                      hill
parit                      ditch, drain, canal
kasut                      shoes, boots
warna                      color
wayang                     a show, a play
wakwak                     gibbon
yang                       who, which, that
kaya                       rich
zaman                      time, period, age
muzium                     museum
rokok                      cigarette
tak                        no, not
kemerdekaan                freedom, liberty, independence
peperiksaan                investigation, examination
pedas                      hot (as chillies), pungent
bilik                      room
pulau                      island
bukan                      no, not
itu                        that, those
orang                      person
melayu                     Malay
cina                       China
india                      India
putih                      white
orang melayu               Malay (person)
orang cina                 Chinese (person)
orang india                Indian (person)
orang putih                European (lit. white man)
buah                       fruit
daging                     meat, flesh
lembu                      cow, ox, bull
babi                       pig
kambing                    goat
tidak                      no
dia                        he, she, it
buku                       book
surat                      letter, writing, memorandum, testimonial
suratkhabar                newspaper
beli                       buy, purchase
baca                       read
tulis                      write
jual                       to sell
apa                        what
daging babi                pork
daging lembu               beef
daging kambing             mutton
laki-laki                  male
budak                      young girl or boy
di                         in, at, on
ini                        this, this is
permpuan                   female, woman
di mana                    where
kedai                      shop
mana                       which; where
anak                       child
hospital                   hospital
kereta                     car
kereta lembu               bullock cart
keretapi                   train
anak laki-laki             son
anak perempuan             daughter
api                        fire, flame, light
sakit                      ill, pain
bangunan                   building
baik                       good, well, useful
saya                       I, me
emak                       mother
kami                       we, us, our (referred exclusively to a group)
kita                       we (inclusive of everyone)
encik                      Mr.
kedai makan                restaurant
orang sakit                patient
basikal                    bicycle
kopi                       coffee
ramai                      a lot, many, much; crowded
kedai kopi                 coffee shop, café
bercakap                   to speak, to talk
bahasa                     language
bahasa melayu              Malay language
bahasa tamil               Tamil language
bahasa cina                Chinese language
bahasa inggeris            English language
air                        water, liquid
teh                        tea
selamat                    safety, peace, security
jalan                      a road, a way, a method; to walk
siapa                      who
nama                       name
duduk                      to sit, to stay, to live
buat                       do, make
suka                       delight, like
boleh                      can
mahu                       to want, wish
semalam                    yesterday; last night
besok                      tomorrow
cuba                       to try, make an attempt
terima                     to receive, accept, obtain
lah                        emphasising word, suffix
terima kasih               thank you, thanks
hari ini                   today
dapat                      to be able
ikan                       fish
pekedai                    shopkeeper
kasih                      to love, affection, strong liking
baiklah                    all right, O.K.
ke                         to
kepada                     to
datang                     come, arrive
dari                       from
daripada                   from
beri                       give, hand over
dari mana                  where ... from, from where
naik                       ascend, mount, climb
beca                       trishaw
mari                       come, come here
ke mana                    where to?
ke sini                    (to) here
dari sana                  (from) there
ke sana                    (to) there
gambar                     a picture, a photograph
balik                      to return, go back
belajar                    to learn, to study
di sana                    there
panggung                   platform, stage, theatre
wayang gambar              film, movie, cinema show
mulai                      to begin, start, commence
satu                       one
dua                        two
tiga                       three
empat                      four
lima                       five
ekor                       tail; classifier for animals
anjing                     dog
kucing                     cat
enam                       six
tujuh                      seven
lapan                      eight
sembilan                   nine
sepuluh                    ten
kapal api                  steamship
berapa                     how much, how many
bantal                     loaf
sebelas                    11
dua belas                  12
tiga belas                 13
empat belas                14
lima belas                 15
enam belas                 16
tujuh belas                17
lapan belas                18
sembilan belas             19
dua puluh                  20
tiga puluh                 30
empat puluh                40
lima puluh                 50
enam puluh                 60
tujuh puluh                70
lapan puluh                80
sembilan puluh             90
seratus                    one hundred
ratus                      hundred
penumpang                  passenger
telur                      egg
lagi                       more, yet
batang                     classifier for long stick-like objects
kupang                     ten cents
kati                       catty (3 catties = 4 pounds)
nya                        his, hers, its
sen                        cent
sahaja                     only
duit                       money
wang                       money
barang                     thing, object, goods, article
kedai daging               butcher's shop
sangat                     very, extremely
nombor                     number
buah-buahan                fruit
beli barang                go shopping
murah                      cheap, generous, liberal
mahal                      dear, expensive
cik                        title prefixed to an unmarried woman's name, miss
sekarang                   now
pasar buah-buahan          fruit market
hendak                     to want, wish
nak                        to want, wish 
tetapi                     but, however, still
isteri                     wife
kata kepada                tell, inform
baharu                     new, modern
kawan                      friend
ingat                      to remember, to recall, to be careful
mati                       dead, stopped
kerja                      work, job, business, profession
kata                       saying, speak
nak ke                     to be off to
macam                      kind, sort, like
kedai buku                 bookshop
macam mana                 how
kalam                      pen
dakwat                     ink
dengan                     with, by means of
lepas itu                  after that, afterwards
sama                       alike, same, equal
makanan                    food
bagus                      good, fine, excellent
kertas tulis               writing paper
lepas                      after, beyond; last (preceding)
pekan                      town
pergi sama                 to go too
gulai                      curry
tak apa                    it doesn't matter
padi                       rice (growing)
beras                      rice (uncooked but not growing)
minggu                     week
pejabat                    office
lebih                      more, superior, greater
lebih kurang               more or less, about
lusa                       the day after tomorrow
pada                       in, at, with according to
dalam                      in, inside, deep, profound
selalu                     always, usually; often
sama-sama                  same to you, not at all; don't mention it
kurang                     less
bulan                      month; moon
esok                       tomorrow
satu hari                  one day
sehari                     a day
satu minggu                one week
seminggu                   a week
satu bulan                 one month
sebulan                    a month
dahulu                     before, in the past, formerly
bercuti                    on leave
pantai                     a beach, a sea-shore
berenang                   to swim
selimpat                   a braided ribbon pattern in lace
sikit                      a little, a bit
kelmarin dahulu            the day before yesterday
tiap-tiap                  every, each
pinang                     betel nut, areca nut
ular                       snake
ular selimpat              sea-snake
berbahaya                  dangerous
ribu                       thousand
seribu                     one thousand
jepun                      Japan
orang jepun                Japanese (person)
orang portugis             Portuguese (person)
sultan                     sultan
